contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid	single_copy_PFAMs	num_single_copies	bh_tsne_x	bh_tsne_y	cluster	ML_expanded_clustering
NODE_59_length_198185_cov_219.307	198185	55.8412594293	219.307	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935	PF12344.3,PF00763.18,PF01668.13,PF01649.13,PF02882.14,PF01632.14,PF00453.13,PF08275.6	8	33.8896716186157	6.938500486156956	DBSCAN_round1_6	DBSCAN_round1_6
NODE_60_length_197785_cov_225.075	197785	69.65644512979999	225.075	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-1.6744997576176377	7.065490956230715	DBSCAN_round1_11	DBSCAN_round1_11
NODE_61_length_195291_cov_224.121	195291	60.533255500799996	224.121	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF03602.10,PF01668.13,PF02410.10,PF02132.10	4	17.24988835750517	3.1959170521624216	DBSCAN_round1_1	DBSCAN_round1_1
NODE_62_length_193756_cov_223.972	193756	39.906893205900005	223.972	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.141080158285691	-19.147403137209636	DBSCAN_round2_3	DBSCAN_round2_3
NODE_63_length_192114_cov_222.758	192114	36.6339777424	222.758	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF01330.16,PF07499.8	2	0.1624032411329993	-11.590847867555524	DBSCAN_round1_4	DBSCAN_round1_4
NODE_64_length_191597_cov_223.888	191597	72.6430998398	223.888	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	-3.0374461648312105	22.985878393432174	DBSCAN_round1_9	DBSCAN_round1_9
NODE_65_length_190222_cov_224.248	190222	58.922206684799995	224.248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF01176.14	1	17.448511455943745	2.6510311049758437	DBSCAN_round1_1	DBSCAN_round1_1
NODE_66_length_188316_cov_222.886	188316	32.8878056033	222.886	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF00164.20,PF06071.8,PF01330.16,PF00763.18,PF01746.16,PF00035.20,PF07499.8,PF02132.10,PF01782.13,PF00886.14,PF02882.14,PF02772.11,PF05491.8,PF00177.16,PF02978.14,PF02773.11	16	-23.38788511454398	13.12716820358682	DBSCAN_round1_10	DBSCAN_round1_10
NODE_67_length_187178_cov_223.355	187178	60.2159441815	223.355	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF01121.15,PF10458.4,PF00380.14,PF00572.13,PF01795.14	5	14.619951144379964	0.3438123353426151	DBSCAN_round1_5	DBSCAN_round1_5
NODE_68_length_186486_cov_223.86	186486	38.4597235181	223.86	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685	PF01715.12	1	-2.1887312431704733	-18.03236461471457	DBSCAN_round2_3	DBSCAN_round2_3
NODE_69_length_185516_cov_224.263	185516	41.1700338515	224.263	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	0.9727928427862856	-19.673847848805877	DBSCAN_round2_3	DBSCAN_round2_3
NODE_70_length_184853_cov_224.33	184853	59.9573715331	224.33	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF12344.3,PF02132.10	2	14.955129205971721	0.21651200389547626	DBSCAN_round1_5	DBSCAN_round1_5
NODE_71_length_184044_cov_223.493	184044	34.775923148800004	223.493	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF03461.10,PF01025.14,PF01195.14	3	-24.102294204713058	13.1402639168642	DBSCAN_round1_10	DBSCAN_round1_10
NODE_72_length_183241_cov_223.107	183241	65.4722469316	223.107	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium afermentans	38286	PF00162.14,PF02938.9,PF03652.10,PF03840.9,PF00121.13,PF02224.13,PF08459.6,PF02772.11,PF02773.11	9	12.334890897955225	11.804814575527933	DBSCAN_round3_3	DBSCAN_round3_3
NODE_73_length_181041_cov_225.016	181041	69.2649731276	225.016	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887	PF01409.15,PF03484.10,PF03652.10,PF03147.9,PF05698.9,PF05697.8,PF02224.13,PF02772.11,PF02912.13,PF02773.11	10	9.58897691494156	10.121573918515967	DBSCAN_round3_0	DBSCAN_round3_0
NODE_74_length_177686_cov_228.138	177686	65.2066004075	228.138	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ihumii	1232427	PF01018.17,PF01016.14,PF02130.12,PF10458.4,PF03772.11,PF02410.10,PF05698.9,PF01649.13,PF06689.8,PF06421.7,PF05697.8,PF08275.6,PF04760.10,PF00829.16	14	12.397293793936123	11.747232638155813	DBSCAN_round3_3	DBSCAN_round3_3
NODE_75_length_176226_cov_225.289	176226	38.6991703835	225.289	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	212	PF06071.8,PF00763.18,PF02130.12,PF01746.16,PF10458.4,PF01782.13,PF00886.14,PF01245.15,PF02882.14,PF01632.14,PF01025.14,PF00453.13,PF02978.14,PF05198.11,PF00707.17	15	-10.764763646837496	-16.427370530201884	DBSCAN_round1_12	DBSCAN_round1_12
NODE_76_length_176017_cov_223.651	176017	38.960441321	223.651	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF01016.14,PF00763.18,PF02410.10,PF02882.14,PF01795.14,PF00829.16	6	-8.279809251447297	-26.92839528419331	DBSCAN_round1_7	DBSCAN_round1_7
NODE_77_length_171623_cov_223.292	171623	35.3385035805	223.292	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF01121.15	1	0.04021042067685373	-11.445566096244882	DBSCAN_round1_4	DBSCAN_round1_4
NODE_78_length_171012_cov_227.789	171012	59.0999462026	227.789	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF00164.20,PF00466.15,PF00298.14,PF04998.12,PF02873.11,PF04983.13,PF04565.11,PF04560.15,PF04997.7,PF04563.10,PF00687.16,PF05000.12,PF00562.23,PF10385.4,PF03946.9,PF00177.16,PF00584.15,PF00623.15,PF00542.14,PF04561.9	20	14.33267677893532	-0.0955346761296723	DBSCAN_round1_5	DBSCAN_round1_5
NODE_79_length_170363_cov_223.487	170363	71.0189419064	223.487	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887	PF01783.18,PF02367.12,PF00312.17,PF06421.7	4	8.447891410885516	9.778899219720982	DBSCAN_round3_0	DBSCAN_round3_0
NODE_80_length_169648_cov_223.265	169648	39.317881731599996	223.265	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF00162.14,PF00113.17,PF02873.11,PF01668.13,PF03652.10,PF03840.9,PF03952.11,PF00121.13,PF08459.6	9	-8.510010286805317	-27.04146483664993	DBSCAN_round1_7	DBSCAN_round1_7
NODE_81_length_168253_cov_224.198	168253	33.2047571217	224.198	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF00162.14,PF00113.17,PF02873.11,PF10458.4,PF03772.11,PF03952.11,PF00121.13,PF08459.6	8	-23.358391021847797	13.244249154621803	DBSCAN_round1_10	DBSCAN_round1_10
NODE_82_length_165793_cov_224.349	165793	57.510871991	224.349	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF01416.15	1	15.266921265084793	-1.123231035396724	DBSCAN_round1_5	DBSCAN_round1_5
NODE_83_length_162517_cov_224.639	162517	39.1072933908	224.639	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF12344.3,PF01018.17,PF01330.16,PF00035.20,PF07499.8,PF06421.7,PF05491.8	7	-20.158742989201453	-12.133242004204984	DBSCAN_round1_13	DBSCAN_round1_13
NODE_84_length_161314_cov_226.738	161314	67.5285468093	226.738	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF12344.3,PF01121.15,PF01632.14,PF05198.11,PF00707.17	5	6.657220819490112	17.641553790062304	DBSCAN_round1_0	DBSCAN_round1_0
NODE_85_length_159391_cov_223.033	159391	35.0458934319	223.033	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF06418.9	1	-0.21955597281150013	-11.395425134282732	DBSCAN_round1_4	DBSCAN_round1_4
NODE_86_length_158470_cov_224.398	158470	60.859468669099996	224.398	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822		0	17.21621692203398	3.2790156692713808	DBSCAN_round1_1	DBSCAN_round1_1
NODE_87_length_157504_cov_224.253	157504	59.694991873199996	224.253	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF00410.14,PF00861.17,PF00416.17,PF00252.13,PF00237.14,PF00276.15,PF00338.17,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF03485.11,PF00831.18,PF00347.18,PF01000.21,PF01193.19,PF00366.15,PF00750.14,PF00297.17,PF00411.14,PF00238.14,PF00828.14,PF00344.15,PF00203.16,PF00573.17,PF00189.15,PF03118.10,PF00163.14,PF03719.10,PF00333.15	31	14.406993889897368	-0.014823844425349838	DBSCAN_round1_5	DBSCAN_round1_5
NODE_88_length_156468_cov_224.271	156468	37.9138226347	224.271	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	171549	PF03840.9	1	0.4510934356970575	-11.761361882357583	DBSCAN_round1_4	DBSCAN_round1_4
NODE_89_length_155135_cov_223.847	155135	34.346859187199996	223.847	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF01783.18,PF00466.15,PF01018.17,PF04998.12,PF02768.10,PF04983.13,PF04565.11,PF01016.14,PF04560.15,PF04997.7,PF04563.10,PF00712.14,PF05000.12,PF02403.17,PF06421.7,PF00562.23,PF10385.4,PF02767.11,PF00623.15,PF01795.14,PF00542.14,PF00829.16,PF04561.9	23	-23.691781939636826	13.154753755341265	DBSCAN_round1_10	DBSCAN_round1_10
NODE_90_length_154475_cov_223.259	154475	61.310244376099995	223.259	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF12344.3	1	17.245003456794333	3.461728420559164	DBSCAN_round1_1	DBSCAN_round1_1
NODE_91_length_154316_cov_223.813	154316	65.2842219861	223.813	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium afermentans	38286	PF02403.17,PF01025.14	2	12.412100506907844	11.7257129452598	DBSCAN_round3_3	DBSCAN_round3_3
NODE_92_length_152811_cov_223.975	152811	60.7469357572	223.975	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF06574.7,PF00830.14,PF06418.9,PF03840.9,PF06421.7,PF01687.12,PF00163.14	7	17.2043564626655	3.147001473692268	DBSCAN_round1_1	DBSCAN_round1_1
NODE_93_length_152002_cov_224.233	152002	33.496269785900004	224.233	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF00410.14,PF00861.17,PF00416.17,PF00252.13,PF00237.14,PF00276.15,PF00338.17,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00347.18,PF01000.21,PF01193.19,PF00366.15,PF00297.17,PF00411.14,PF00238.14,PF00828.14,PF00344.15,PF00203.16,PF00573.17,PF00189.15,PF01176.14,PF03118.10,PF00163.14,PF03719.10,PF00333.15	30	-23.7452971049812	12.607882636780976	DBSCAN_round1_10	DBSCAN_round1_10
NODE_94_length_150624_cov_223.537	150624	28.7756267262	223.537	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:356	1262800	PF00410.14,PF12344.3,PF00861.17,PF00416.17,PF00252.13,PF00237.14,PF00276.15,PF00338.17,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00347.18,PF01000.21,PF01193.19,PF00366.15,PF00297.17,PF00411.14,PF00238.14,PF00828.14,PF02772.11,PF00344.15,PF00203.16,PF00573.17,PF00189.15,PF01176.14,PF03118.10,PF01795.14,PF00163.14,PF03719.10,PF00333.15,PF02773.11	34	-25.98212331078503	5.781393528770418	DBSCAN_round2_4	DBSCAN_round2_4
NODE_95_length_149436_cov_223.744	149436	66.7322465805	223.74400000000003	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	11.520022148334894	11.183435838748963	DBSCAN_round3_3	DBSCAN_round3_3
NODE_96_length_144936_cov_226.858	144936	56.4821714412	226.858	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935	PF06418.9,PF01084.15	2	34.010575415508754	6.488470591581434	DBSCAN_round1_6	DBSCAN_round1_6
NODE_97_length_144723_cov_223.834	144723	60.004975021199996	223.834	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF03602.10,PF00154.16	2	14.797759564897994	0.09114953469738904	DBSCAN_round1_5	DBSCAN_round1_5
NODE_98_length_143507_cov_224.136	143507	38.1075487607	224.136	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	212	PF00154.16,PF00162.14,PF00113.17,PF01765.14,PF00889.14,PF03461.10,PF03840.9,PF03952.11,PF01084.15,PF01250.12,PF00627.26,PF00318.15	12	-10.71866851010993	-16.27951604084139	DBSCAN_round1_12	DBSCAN_round1_12
NODE_99_length_143125_cov_224.739	143125	33.211528384299996	224.739	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. TX077308	573569	PF00113.17,PF00312.17,PF03485.11,PF03952.11,PF00750.14,PF03726.9,PF01795.14	7	-22.178264204382156	2.824071764601772	DBSCAN_round3_1	DBSCAN_round3_1
NODE_100_length_142487_cov_223.46	142487	37.016008478	223.46	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	212	PF03602.10,PF01281.14,PF02938.9,PF02768.10,PF00830.14,PF00035.20,PF05698.9,PF00712.14,PF03948.9,PF05697.8,PF01687.12	11	-10.909567370238246	-16.21827162763089	DBSCAN_round1_12	DBSCAN_round1_12
NODE_101_length_139096_cov_225.266	139096	70.86041295220001	225.266	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-2.5695799560066845	6.592171977152186	DBSCAN_round1_11	DBSCAN_round1_11
NODE_102_length_138307_cov_223.908	138307	39.4303975938	223.908	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685	PF12344.3,PF00162.14,PF00113.17,PF03840.9,PF03952.11,PF00121.13	6	0.07271239627432839	-19.640130297746705	DBSCAN_round2_3	DBSCAN_round2_3
NODE_103_length_137756_cov_225.461	137756	39.7325706321	225.461	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	29430	PF02938.9	1	-20.612318840542805	-12.448409920529336	DBSCAN_round1_13	DBSCAN_round1_13
NODE_104_length_136707_cov_224.138	136707	70.2853548099	224.138	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887		0	8.364488348647232	9.749873694972171	DBSCAN_round3_0	DBSCAN_round3_0
NODE_105_length_136131_cov_224.464	136131	32.4488911416	224.46400000000003	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF03602.10,PF06574.7,PF01509.13,PF01765.14,PF08529.6,PF02367.12,PF11987.3,PF03840.9,PF01245.15,PF01252.13,PF01687.12,PF04760.10,PF02033.13	13	-23.21688944702601	12.865770226644713	DBSCAN_round1_10	DBSCAN_round1_10
NODE_106_length_135357_cov_223.837	135357	68.7116292471	223.837	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326		0	6.954788859143012	18.708639881507004	DBSCAN_round1_0	DBSCAN_round1_0
NODE_107_length_135043_cov_223.938	135043	40.4397117955	223.938	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685	PF01121.15,PF01409.15,PF03484.10,PF03147.9,PF05698.9,PF06689.8,PF05697.8,PF01632.14,PF00453.13,PF08459.6,PF02912.13,PF00163.14,PF05198.11,PF00707.17	14	0.5743873425977273	-19.455381256436077	DBSCAN_round2_3	DBSCAN_round2_3
NODE_108_length_134368_cov_224.716	134368	59.475470350100004	224.716	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF01509.13,PF00312.17,PF01252.13,PF03726.9,PF02033.13	5	17.573852688217606	3.094668166350831	DBSCAN_round1_1	DBSCAN_round1_1
NODE_109_length_132210_cov_222.18	132210	56.6356553967	222.18	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935	PF03461.10,PF01196.14,PF01000.21,PF01193.19,PF01025.14,PF01250.12,PF03118.10	7	33.456747428143395	6.753013917557983	DBSCAN_round1_6	DBSCAN_round1_6
NODE_110_length_132131_cov_223.987	132131	31.7745267954	223.987	Bacteria	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	unclassified	1218	PF00466.15,PF00162.14,PF00113.17,PF00298.14,PF01018.17,PF02130.12,PF03485.11,PF00687.16,PF03952.11,PF00750.14,PF03946.9,PF00584.15,PF01195.14,PF01795.14,PF00542.14	15	-20.78146312238127	3.653713236574204	DBSCAN_round3_4	DBSCAN_round3_4
NODE_111_length_129576_cov_223.313	129576	57.844816941400005	223.313	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654		0	15.375636516830596	-1.2719764836682228	DBSCAN_round1_5	DBSCAN_round1_5
NODE_112_length_129575_cov_223.985	129575	57.518039745299994	223.985	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola	68334	PF06574.7,PF01121.15,PF01649.13,PF01252.13,PF01687.12,PF01795.14	6	20.7407878584868	-9.93467646338464	DBSCAN_round1_14	DBSCAN_round1_14
NODE_113_length_128969_cov_224.569	128969	70.16957563449999	224.569	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	0.25875601965185946	21.398293458383684	DBSCAN_round1_9	DBSCAN_round1_9
NODE_114_length_128058_cov_223.59	128058	72.4523262897	223.59	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275		0	-2.898717152946133	22.785050693587074	DBSCAN_round1_9	DBSCAN_round1_9
NODE_115_length_125276_cov_224.211	125276	38.9396213161	224.211	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.7732810181841805	-18.262459330647413	DBSCAN_round2_3	DBSCAN_round2_3
NODE_116_length_123186_cov_224.013	123186	33.2140015911	224.013	Bacteria	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	1219	PF00410.14,PF00861.17,PF00164.20,PF00416.17,PF00154.16,PF00252.13,PF00237.14,PF08529.6,PF04565.11,PF00276.15,PF00338.17,PF00035.20,PF04563.10,PF03947.13,PF00181.18,PF11987.3,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF01782.13,PF01649.13,PF00347.18,PF00380.14,PF01000.21,PF01193.19,PF00366.15,PF00297.17,PF00572.13,PF01416.15,PF02224.13,PF10385.4,PF00411.14,PF00238.14,PF00828.14,PF00344.15,PF00203.16,PF04760.10,PF00177.16,PF00573.17,PF00189.15,PF03118.10,PF03719.10,PF00333.15,PF04561.9	45	-20.760213501266037	3.5892746637886073	DBSCAN_round3_4	DBSCAN_round3_4
NODE_117_length_121926_cov_232.463	121926	44.8509751817	232.463	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296		0	2.0844170100694916	-13.009391925077615	DBSCAN_round1_4	DBSCAN_round1_4
NODE_118_length_120968_cov_225.235	120968	69.51921169229999	225.235	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-2.333889156683015	7.392539076061003	DBSCAN_round1_11	DBSCAN_round1_11
NODE_119_length_119677_cov_223.947	119677	63.805910910200005	223.947	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ihumii	1232427	PF02768.10,PF00712.14,PF02527.10,PF02767.11,PF00825.13	5	12.522923177909966	11.263185136269875	DBSCAN_round3_3	DBSCAN_round3_3
NODE_120_length_119298_cov_224.179	119298	38.6008147664	224.179	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	212	PF00410.14,PF00861.17,PF00416.17,PF00252.13,PF00237.14,PF02873.11,PF01668.13,PF00276.15,PF00338.17,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00347.18,PF01000.21,PF01193.19,PF00366.15,PF00297.17,PF00411.14,PF00238.14,PF00344.15,PF00203.16,PF00825.13,PF00573.17,PF00189.15,PF01176.14,PF03118.10,PF00163.14,PF03719.10,PF00333.15	32	-10.954948483337922	-16.329717797936745	DBSCAN_round1_12	DBSCAN_round1_12
NODE_121_length_119013_cov_222.361	119013	36.7724534295	222.361	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella sp. CAG:118	1262978		0	0.22717253572778115	-11.552150953998305	DBSCAN_round1_4	DBSCAN_round1_4
NODE_122_length_118234_cov_230.379	118234	71.4675981528	230.379	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275	PF00164.20,PF00466.15,PF00298.14,PF04998.12,PF04983.13,PF04565.11,PF04560.15,PF04997.7,PF04563.10,PF00687.16,PF05000.12,PF00562.23,PF10385.4,PF03946.9,PF00177.16,PF00584.15,PF00623.15,PF00542.14,PF04561.9	19	-3.5180653364959062	20.348383927603745	DBSCAN_round1_9	DBSCAN_round1_9
NODE_123_length_117878_cov_224.371	117878	58.7700843245	224.371	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822		0	17.699115313465516	2.8396309094049643	DBSCAN_round1_1	DBSCAN_round1_1
NODE_124_length_116649_cov_223.972	116649	39.1773611433	223.972	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.0092317093665175	-18.13403172276183	DBSCAN_round2_3	DBSCAN_round2_3
NODE_125_length_115833_cov_224.259	115833	38.550326763499996	224.259	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-2.7446399549109235	-17.199179188573698	DBSCAN_round2_3	DBSCAN_round2_3
NODE_126_length_115614_cov_223.525	115614	52.9555244175	223.525	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935	PF02768.10,PF00712.14,PF02767.11	3	34.7859158048419	7.414446262176318	DBSCAN_round1_6	DBSCAN_round1_6
NODE_127_length_115095_cov_224.529	115095	37.412572222899996	224.529	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	212	PF08459.6	1	-10.840846190541903	-16.292073966468838	DBSCAN_round1_12	DBSCAN_round1_12
NODE_128_length_115061_cov_222.739	115061	37.9033729935	222.739	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351		0	-8.460224115660276	-26.317352048163556	DBSCAN_round1_7	DBSCAN_round1_7
NODE_129_length_114394_cov_230.781	114394	38.9828137839	230.781	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	212	PF00164.20,PF00466.15,PF00298.14,PF04998.12,PF04983.13,PF04565.11,PF04560.15,PF04997.7,PF04563.10,PF00687.16,PF01649.13,PF05000.12,PF00380.14,PF01252.13,PF00562.23,PF00572.13,PF10385.4,PF08275.6,PF03946.9,PF00177.16,PF00584.15,PF00623.15,PF00542.14,PF04561.9	24	-10.847054464911738	-16.587631645100576	DBSCAN_round1_12	DBSCAN_round1_12
NODE_130_length_113714_cov_224.263	113714	38.5537400848	224.263	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-2.3351379378612185	-17.823634195199705	DBSCAN_round2_3	DBSCAN_round2_3
NODE_131_length_112177_cov_224.701	112177	69.2396837141	224.701	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces europaeiscabiei	146819		0	-1.2707481968064616	7.422185028921413	DBSCAN_round1_11	DBSCAN_round1_11
NODE_132_length_112038_cov_223.935	112038	31.6696120959	223.935	Bacteria	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	unclassified	1218	PF12344.3,PF01281.14,PF02938.9,PF01715.12,PF02768.10,PF06418.9,PF10458.4,PF05698.9,PF00712.14,PF03948.9,PF06689.8,PF05697.8,PF01632.14,PF00453.13,PF01250.12,PF02767.11,PF05198.11,PF00707.17	18	-20.819523193233515	3.5969957342398686	DBSCAN_round3_4	DBSCAN_round3_4
